district,id,description,Longitude,Latitude
Ciudad Lineal,228,ALCALA - MATEO GARCIA,-3.65327856646962,40.43239563608481
Ciudad Lineal,351,ALCALA - CONCEJAL JULIO GOMEZ,-3.65032650590804,40.43281597931392
Ciudad Lineal,227,ALCALA - LAGO CONSTANZA,-3.64824810860918,40.43311311360801
Ciudad Lineal,199,ALCALA - VIRGEN DEL SAGRARIO,-3.64722498973979,40.43354173751983
Ciudad Lineal,198,ALCALA - EMILIO FERRARI,-3.64419198223319,40.43500018504552
Ciudad Lineal,364,ALCALA - VICENTE ESPINEL,-3.64164626609628,40.43624284366855
Ciudad Lineal,701,ALCALA - ARTURO SORIA,-3.63821287888151,40.4378940707525
Ciudad Lineal,578,ALCALA - GENERAL ARANAZ,-3.63552546494962,40.43860283283133
San Blas,531,ALCALA - TAMPICO,-3.63213912044171,40.4395071890451
San Blas,497,ALCALA - RUFINO GONZALEZ,-3.62798901591179,40.44061055321836
San Blas,880,ALCALA - MIGUEL YUSTE,-3.62554617034735,40.44128707517201
Ciudad Lineal,1759,ALCALA - FLORENCIO LLORENTE - SANTA ELENA,-3.65187556899857,40.43258820882752
Ciudad Lineal,2068,ALCALA - LOS URQUIZA,-3.64634580856345,40.4339496848156
Ciudad Lineal,1425,ALCALA - FEDERICO GUTIERREZ,-3.64495711932852,40.43467641062957
San Blas,1583,ALCALA - RIOBAMBA - SANTA LEONOR,-3.63290511713414,40.43926353652318
San Blas,1582,ALCALA - ALFONSO GOMEZ - CAMPECHE,-3.63013714571091,40.44004039729816
Ciudad Lineal,473,AV. DAROCA - RICARDO ORTIZ,-3.65756507135489,40.43059922783174
San Blas,1760,JUAN IGNACIO LUCA TENA 7 - P.P.,-3.63587078313533,40.44723212008997
San Blas,1761,JUAN IGNACIO LUCA TENA - JUANA I CASTILLA - P.P.,-3.63224522531222,40.44776600670011
Ciudad Lineal,2125,ALCALA - HERMANOS MACHADO,-3.6494332732193,40.43291686398166
Ciudad Lineal,4573,ALCALDE LOPEZ CASERO 10 - P.P.,-3.65563035210311,40.43316903353855
Ciudad Lineal,4623,ALCALA - ANGEL GONZALEZ TEJEDOR - P.P.,-3.65656934141323,40.43194301051526
Ciudad Lineal,4763,ALCALA - DR. VALLEJO - P.P.,-3.64270148975416,40.43572705276523
Ciudad Lineal,4764,ALCALA - JOSE ARCONES GIL,-3.63947241188933,40.43729121173819
Ciudad Lineal,664,HERMANOS GARCIA NOBLEJAS - CAUNEDO,-3.6372715530948,40.43673017167477
Ciudad Lineal,659,HERMANOS GARCIA NOBLEJAS - ARGOS,-3.63657515752217,40.43575563768734
Ciudad Lineal,512,HERMANOS GARCIA NOBLEJAS - VITAL AZA,-3.63577366198977,40.43463306400051
Ciudad Lineal,655,HERMANOS GARCIA NOBLEJAS - JULIAN CAMARILLO,-3.63452587125464,40.43292591174304
Ciudad Lineal,656,HERMANOS GARCIA NOBLEJAS - MIGUEL FLETA,-3.63315409084563,40.43104094683442
