"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8175;35;"2018-03-28 00:00:00";440680.917840265;4475527.29697329;-3.69931641473092;40.42826791568562
"other";1;10798;35;"2024-01-22 00:00:00";440686.704017693;4475499.490190867;-3.69924561155478;40.42801783191483
"other";1;10799;35;"2024-01-22 00:00:00";440676.971000833;4475493.210375983;-3.69935976017396;40.42796056642805
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8110;35;"2018-03-28 00:00:00";440696.204964528;4475524.78582363;-3.69913597232836;40.42824638402334
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;3453;35;"2018-08-02 00:00:00";440676.011949965;4475571.849109048;-3.69937840404292;40.42866891203843
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4423;36;"2018-08-20 00:00:00";441032.053721296;4475435.79158986;-3.69516865381191;40.42746855641496
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4414;36;"2018-08-20 00:00:00";440985.85755924;4475524.300572017;-3.69572143495965;40.4282626110702
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4417;36;"2018-08-20 00:00:00";440946.908433786;4475443.894562528;-3.69617310759783;40.42753551211234
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4413;36;"2018-08-20 00:00:00";441055.607742704;4475518.499178327;-3.69489866515269;40.42821529455346
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4415;36;"2018-08-20 00:00:00";440966.226428204;4475517.967690177;-3.69595226332737;40.42820416863823
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4419;36;"2018-08-20 00:00:00";440940.377593902;4475467.964543292;-3.69625232993635;40.42775188215924
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8171;36;"2018-03-27 00:00:00";441025.253031346;4475489.335655196;-3.69525378809246;40.42795042446303
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;8170;36;"2018-03-27 00:00:00";441007.384952402;4475498.171806557;-3.69546524026132;40.4280287577672
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4412;36;"2018-08-20 00:00:00";441060.806915744;4475524.91453187;-3.69483797087552;40.42827345545297
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4420;36;"2018-08-20 00:00:00";440918.551822719;4475475.703282776;-3.69651033453896;40.42782004656982
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4422;36;"2018-08-20 00:00:00";441017.015151068;4475422.464379712;-3.69534469353156;40.4273474325235
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4421;36;"2018-08-20 00:00:00";440915.675506189;4475488.109328471;-3.69654539402109;40.42793160175025
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4418;36;"2018-08-20 00:00:00";440934.215629792;4475457.642265211;-3.69632400904771;40.42765845676143
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4416;36;"2018-08-20 00:00:00";440959.075567913;4475439.632336332;-3.69602928424555;40.427497979576
"other";1;10111;415;"2023-02-06 00:00:00";440108.177686616;4475508.675668322;-3.70606624635942;40.42805912927255
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4387;415;"2018-08-31 00:00:00";440098.183155551;4475496.830996914;-3.7061829475881;40.42795170754341
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4386;415;"2018-08-31 00:00:00";440084.846077205;4475496.276536456;-3.70634011491276;40.42794575225331
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;7138;37;"2018-08-31 00:00:00";441167.7690334;4475316.46630927;-3.69355778545351;40.42640322642427
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;7137;37;"2018-08-31 00:00:00";441171.655987002;4475313.667429369;-3.69351170737914;40.42637828764665
"other";1;7927;414;"1970-08-11 00:00:00";440049.157961808;4475354.81469932;-3.70674747223011;40.42666882942259
"other";1;7928;414;"1970-08-11 00:00:00";440064.580010254;4475400.40355959;-3.70656997595572;40.42708062558658
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4391;591;"2018-08-31 00:00:00";440521.230240948;4475289.890710048;-3.70117663758484;40.4261178487853
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4394;591;"2018-08-31 00:00:00";440512.064283229;4475321.316726224;-3.70128762493431;40.42640029347361
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4392;591;"2018-08-31 00:00:00";440527.761800702;4475301.90607763;-3.70110076846624;40.42622655569912
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4393;591;"2018-08-31 00:00:00";440516.26302308;4475315.902662829;-3.70123762407049;40.42635182131506
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4395;591;"2018-08-31 00:00:00";440504.196079951;4475318.401366779;-3.7013801017043;40.42637346791967
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4388;591;"2018-08-31 00:00:00";440516.916242143;4475279.212405963;-3.70122649131903;40.42602134526134
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4400;542;"2018-08-31 00:00:00";440875.702211747;4475285.157578519;-3.69699773225115;40.4261004773722
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4401;542;"2018-08-31 00:00:00";440863.957108801;4475290.310669459;-3.69713666115169;40.42614606405937
